uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
MG;BR-050;ARAGUARI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;17;15h-17h;TARDE;ANOITECER;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
PR;BR-476;ARAUCARIA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;ANOITECER;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;ENGAVETAMENTO;CÉU CLARO;SIMPLES;"RETA;ACLIVE";SIM;0
CE;BR-116;FORTALEZA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;17;15h-17h;TARDE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;MÚLTIPLA;RETA;SIM;0
GO;BR-153;GOIANIA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;ENGAVETAMENTO;IGNORADO;DUPLA;RETA;SIM;0
PE;BR-101;RECIFE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;MÚLTIPLA;RETA;SIM;0
PB;BR-104;ESPERANCA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;DEFICIÊNCIA DO SISTEMA DE ILUMINAÇÃO/SINALIZAÇÃO;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;ACLIVE;NÃO;0
PR;BR-277;CURITIBA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;17;15h-17h;TARDE;ANOITECER;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-153;SAO JOSE DO RIO PRETO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;"INTERSEÇÃO DE VIAS;ACLIVE;VIADUTO;RETA";SIM;0
RJ;BR-040;DUQUE DE CAXIAS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;11;09h-11h;MANHA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
GO;BR-070;AGUAS LINDAS DE GOIAS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;18;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"ACLIVE;RETA";NÃO;1
RJ;BR-101;ANGRA DOS REIS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;ANIMAIS NA PISTA;ATROPELAMENTO DE ANIMAL;NUBLADO;SIMPLES;RETA;SIM;0
RN;BR-110;MOSSORO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;19;18h-20h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;SIM;0
SC;BR-282;XANXERE;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;ENGAVETAMENTO;SOL;SIMPLES;RETA;NÃO;0
